scraped_ts,category,product_name,company,price_raw,city,state,rating,product_url
2025-04-24T06:41:55,tractor,"New Holland 3037 NX Agriculture Tractor, 3 Cylinder",,,,,,
2025-04-24T06:41:55,tractor,"New Holland 3630 Tx Super Agriculture Tractor, 49.5 Hp, 2wd",,,,,,
2025-04-24T06:41:55,tractor,"New Holland 3600-2 Tx All Rounder Plus 4wd Agriculture Tractor, 49.5 Hp",,,,,,
2025-04-24T06:41:55,tractor,"New Holland 3630 Tx Plus Agriculture Tractor, 3 Cylinder",,,,,,
2025-04-24T06:41:55,tractor,5075E-4WD John Deere Tractor,,,,,,
2025-04-24T06:41:55,tractor,"3028en John Deere Tractor, 28 Hp",,,,,,
2025-04-24T06:41:55,tractor,45 Ultramaxx 4wd Escorts Farmtrac Tractor,,,,,,
2025-04-24T06:41:55,tractor,Escorts Powertrac Euro 50 Tractor,,,,,,
2025-04-24T06:41:55,tractor,Yanmar YM 342A & YM 348A 4WD Tractors,,,,,,
2025-04-24T06:41:55,tractor,John Deere 5310 4wd Tractor,,,,,,
2025-04-24T06:41:55,tractor,"Massey Ferguson Mf 241 Di Tractor, 42hp",,,,,,
2025-04-24T06:41:55,tractor,John Deere 5075 E 75hp 4wd Tractor,,,,,,
2025-04-24T06:41:55,tractor,Kubota Tractor 21 HP,,,,,,
2025-04-24T06:41:56,tractor,Tractor Mahindra Oja 3136,,,,,,
2025-04-24T06:41:56,tractor,"Mahindra Oja 3132 Tractor, 32 Hp",,,,,,
2025-04-24T06:41:56,tractor,"3 Cylinder B2741s Kubota Tractor, 4 Wd, 27 Hp",,,,,,
2025-04-24T06:41:56,tractor,"John Deere 3036E 4WD, 36 HP",,,,,,
2025-04-24T06:41:56,tractor,"8 F + 2 R John Deere Tractor5210 2wd, 36 Hp",,,,,,
2025-04-24T06:41:56,tractor,"8 F + 3 R John Deere Tractor 5075e Trem-iv Tractor 4wd, 55 Hp",,,,,,
2025-04-24T06:41:56,tractor,"8 F + 3 R John Deere Tractor 5310 Trem-iv Tractor 4wd, 55 Hp",,,,,,
2025-04-24T06:41:56,tractor,"Solis 2216 Tractor, 21-30 HP, 4WD",,,,,,
2025-04-24T06:41:56,tractor,"Solis Tractor 2516, 21-30 Hp, 4wd",,,,,,
2025-04-24T06:41:56,tractor,"Mahindra Oja 2124 Tractor, 24 Hp",,,,,,
2025-04-24T06:41:56,tractor,"Kubota Mu4501 4 Wheel Drive 45 Hp Tractor, 4wd",,,,,,
2025-04-24T06:41:56,tractor,"New Holland Simba 30 Tractor, 29 HP",,,,,,
2025-04-24T06:41:56,tractor,"New Holland 3630 Tx Plus Tractor, 4wd",,,,,,
2025-04-24T06:41:56,tractor,Solis 2516 Sn 4 Wd,,,,,,
